,channelGrouping,date,fullVisitorId,visitId,visitNumber,visitStartTime,device.browser,device.deviceCategory,device.isMobile,device.operatingSystem,geoNetwork.city,geoNetwork.continent,geoNetwork.country,geoNetwork.metro,geoNetwork.networkDomain,geoNetwork.region,geoNetwork.subContinent,totals.hits,totals.newVisits,totals.pageviews,totals.sessionQualityDim,totals.timeOnSite,totals.totalTransactionRevenue,totals.transactionRevenue,totals.transactions,trafficSource.adContent,trafficSource.adwordsClickInfo.adNetworkType,trafficSource.adwordsClickInfo.gclId,trafficSource.adwordsClickInfo.isVideoAd,trafficSource.adwordsClickInfo.page,trafficSource.adwordsClickInfo.slot,trafficSource.campaign,trafficSource.campaignCode,trafficSource.isTrueDirect,trafficSource.keyword,trafficSource.medium,trafficSource.referralPath,trafficSource.source
34,0,2016-09-02,6045930241388777741,1472825504,6,1472825504,0,0,False,1,3,0,0,3,9,2,0,22,0.0,16,0.0,530.0,90500000,81500000,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0
35,1,2016-09-02,1546626226233851002,1472837482,3,1472837482,0,0,False,0,8,0,0,2,0,1,0,24,0.0,21,0.0,571.0,2103690000,546320000,2,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
36,1,2016-09-02,4755168908070236728,1472849608,2,1472849608,0,0,False,4,0,0,0,0,0,0,0,27,0.0,22,0.0,388.0,70840000,63840000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
37,0,2016-09-02,3794016165791476291,1472832496,1,1472832496,1,1,True,2,6,0,0,2,10,1,0,28,1.0,20,0.0,387.0,120340000,117340000,1,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0
38,1,2016-09-02,314733033105141755,1472879820,1,1472879820,0,0,False,0,3,0,0,3,0,2,0,28,1.0,21,0.0,722.0,51710000,43710000,1,0,0,0,0,0.0,0,0,0.0,1,1,1,1,1
39,2,2016-09-02,747690048733385763,1472823219,2,1472823219,1,0,False,0,3,0,0,3,4,2,0,33,0.0,24,0.0,1185.0,40480000,34480000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,0,1
40,0,2016-09-02,8007300615127214527,1472850417,3,1472850417,0,0,False,0,8,0,0,2,0,1,0,34,0.0,30,0.0,688.0,41390000,35390000,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0
41,1,2016-09-02,8516473451212465925,1472845932,1,1472845932,0,0,False,0,6,0,0,2,0,1,0,35,1.0,29,0.0,695.0,345030000,339030000,1,0,0,0,0,0.0,0,0,0.0,1,1,1,1,1
42,0,2016-09-02,6712520540378436905,1472853233,1,1472853233,0,0,False,3,2,0,0,2,0,1,0,38,1.0,31,0.0,913.0,39670000,33670000,1,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0
43,1,2016-09-02,3152246617474456269,1472828860,2,1472828860,0,0,False,1,4,0,0,4,0,3,0,38,0.0,28,0.0,1207.0,644500000,635500000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
44,1,2016-09-02,1881458907401964229,1472849525,1,1472849525,0,0,False,0,3,0,0,3,0,2,0,41,1.0,26,0.0,226.0,111240000,103240000,1,0,0,0,0,0.0,0,0,0.0,1,1,1,1,1
45,1,2016-09-02,1095886019324498043,1472835680,2,1472835680,0,0,False,1,2,0,0,2,0,1,0,41,0.0,34,0.0,703.0,310470000,305470000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
46,1,2016-09-02,8585031285178547027,1472858772,2,1472858772,0,0,False,4,2,0,0,2,0,1,0,47,0.0,35,0.0,3089.0,6150000,5150000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
47,1,2016-09-02,3741689406060673010,1472858035,2,1472858035,0,0,False,3,2,0,0,2,0,1,0,50,0.0,36,0.0,1002.0,92850000,90850000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
48,1,2016-09-02,4293841073200012958,1472855651,1,1472855651,0,0,False,0,4,0,0,4,11,3,0,67,1.0,52,0.0,1221.0,12590000,10590000,1,0,0,0,0,0.0,0,0,0.0,1,1,1,1,1
49,0,2016-09-02,643132668463442280,1472867400,1,1472867400,0,0,False,1,3,0,0,3,0,2,0,67,1.0,44,0.0,982.0,32680000,25680000,1,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0
50,1,2016-09-02,1710046532262949205,1472835694,2,1472835694,0,0,False,0,3,0,0,3,0,2,0,72,0.0,50,0.0,1172.0,672960000,338970000,2,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
51,1,2017-11-30,9340341966296957897,1512071393,4,1512071393,0,0,False,0,6,0,0,2,0,1,0,10,0.0,10,78.0,146.0,211950000,207950000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
52,1,2017-11-30,113560599620525482,1512058581,1,1512058581,0,0,False,0,8,0,0,2,0,1,0,11,1.0,8,4.0,305.0,54700000,47700000,1,0,0,0,0,0.0,0,0,0.0,1,1,1,1,1
53,1,2017-11-30,3287935319409551745,1512076948,1,1512076948,0,0,False,1,0,0,0,0,0,0,0,14,1.0,10,22.0,230.0,90180000,83180000,1,0,0,0,0,0.0,0,0,0.0,1,1,1,1,1
54,1,2017-11-30,849161684199944498,1512093736,8,1512093736,0,0,False,0,2,0,0,2,2,1,0,14,0.0,10,52.0,342.0,59380000,50380000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
55,2,2017-11-30,3371421134809281185,1512056866,1,1512056866,0,0,False,0,3,0,0,3,12,2,0,19,1.0,15,41.0,341.0,29930000,28930000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,0,1
56,0,2017-11-30,4954404706370546472,1512077805,3,1512077805,1,1,True,2,13,0,0,8,0,7,0,19,0.0,15,45.0,1532.0,33980000,24980000,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0
57,2,2017-11-30,5774144420048753588,1512056524,2,1512056525,0,0,False,0,4,0,0,4,13,3,0,21,0.0,18,68.0,426.0,17490000,8490000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,0,1
58,1,2017-11-30,943945152769904281,1512079391,1,1512079391,0,0,False,0,3,0,0,3,0,2,0,23,1.0,18,73.0,738.0,84180000,83180000,1,0,0,0,0,0.0,0,0,0.0,1,1,1,1,1
59,0,2017-11-30,8169242395174514673,1512070441,11,1512070441,0,0,False,0,0,0,0,0,0,0,0,23,0.0,18,71.0,1482.0,203870000,199870000,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0
60,0,2017-11-30,1505936082836608918,1512068782,1,1512068782,0,0,False,1,3,0,0,3,14,2,0,27,1.0,23,57.0,973.0,49850000,44850000,1,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0
61,0,2017-11-30,5923014411436562598,1512051671,19,1512051671,0,0,False,0,3,1,2,3,15,2,1,36,0.0,26,34.0,808.0,110540000,105540000,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0
62,1,2017-11-30,9851027407827249742,1512059036,1,1512059036,0,0,False,0,1,0,0,1,16,1,0,37,1.0,26,76.0,656.0,46580000,44580000,1,0,0,0,0,0.0,0,0,0.0,1,1,1,1,1
63,1,2017-11-30,5828412432443212029,1512069586,4,1512069586,0,0,False,0,0,0,0,0,0,0,0,40,0.0,39,88.0,767.0,247250000,241250000,1,0,0,0,0,0.0,0,0,0.0,1,1,1,1,1
64,0,2017-11-30,2875842843843422362,1512075354,3,1512075354,0,0,False,0,2,0,0,2,0,1,0,41,0.0,23,80.0,685.0,109960000,107960000,1,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0
65,3,2017-11-30,2519100032925370597,1512100026,4,1512100026,0,0,False,1,0,0,0,0,17,0,0,43,0.0,27,73.0,566.0,55960000,49960000,1,1,0,0,0,0.0,0,0,0.0,0,4,2,0,0
66,0,2017-11-30,3517667571922875880,1512094534,10,1512094534,0,0,False,0,3,0,0,3,1,2,0,48,0.0,29,70.0,830.0,141750000,134750000,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0
67,1,2017-11-30,5693109963199016413,1512070534,3,1512070534,0,0,False,0,3,0,0,3,18,2,0,48,0.0,27,90.0,1216.0,215490000,207490000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
68,0,2017-11-30,4261759267361269648,1512088996,1,1512088996,0,0,False,1,3,0,0,3,19,2,0,51,1.0,31,55.0,1073.0,55430000,46430000,1,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0
69,0,2017-11-30,9549089852095378957,1512072523,5,1512072523,1,2,True,2,3,0,0,3,0,2,0,51,0.0,32,66.0,972.0,89430000,85430000,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0
70,0,2017-11-30,6739930820441913668,1512047312,1,1512047312,1,1,True,2,14,0,0,9,10,8,0,53,1.0,43,46.0,1754.0,17950000,13950000,1,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0
71,1,2017-11-30,4962088874496440474,1512078277,2,1512078277,0,0,False,0,3,0,0,3,0,2,0,70,0.0,43,85.0,599.0,60990000,55990000,1,0,0,0,0,0.0,0,0,0.0,1,1,1,1,1
72,4,2017-01-26,7168226225550508027,1485452166,3,1485452166,0,0,False,0,0,0,0,0,0,0,0,42,0.0,33,0.0,733.0,602910000,593910000,1,0,0,0,0,0.0,0,0,0.0,1,1,4,0,3
73,1,2017-01-26,2923583380085498492,1485467793,7,1485467793,0,0,False,3,2,0,0,2,0,1,0,8,0.0,8,0.0,153.0,46790000,44790000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
74,0,2017-01-26,4357414011161520512,1485484006,1,1485484006,1,1,True,2,15,0,0,10,0,9,0,12,1.0,10,0.0,348.0,13990000,10990000,1,0,0,0,0,0.0,0,0,0.0,1,1,1,0,1
75,1,2017-01-26,62722204677243801,1485456962,3,1485456962,0,0,False,0,3,0,0,3,0,2,0,12,0.0,10,0.0,370.0,31390000,30390000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
76,2,2017-01-26,4290831302541966980,1485456771,1,1485456771,3,0,False,0,16,0,0,2,2,1,0,13,1.0,11,0.0,319.0,32990000,24990000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,0,1
77,2,2017-01-26,4395471984561333181,1485477841,1,1485477841,4,1,True,2,3,0,0,3,20,2,0,15,1.0,14,0.0,635.0,17970000,16970000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,0,1
78,2,2017-01-26,5843958474903500870,1485478912,2,1485478912,1,1,True,2,3,0,0,3,0,2,0,18,0.0,9,0.0,396.0,12980000,8980000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,0,1
79,1,2017-01-26,8946514554986669717,1485446384,5,1485446384,0,0,False,0,10,0,0,6,0,5,0,20,0.0,16,0.0,215.0,35720000,30720000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
80,1,2017-01-26,463325773564352787,1485471506,3,1485471506,0,0,False,0,3,0,0,3,0,2,0,20,0.0,16,0.0,274.0,52790000,44790000,1,0,0,0,0,0.0,0,0,0.0,1,1,1,1,1
81,0,2017-01-26,205818826345710444,1485483505,6,1485483505,0,0,False,1,3,0,0,3,0,2,0,22,0.0,17,0.0,1112.0,18960000,11960000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,0,1
82,0,2017-01-26,6388824250276633832,1485474460,4,1485474460,0,0,False,0,6,0,0,2,0,1,0,23,0.0,17,0.0,474.0,60570000,57570000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,0,1
83,0,2017-01-26,3945894443419413506,1485470612,2,1485470612,0,0,False,1,3,0,0,3,0,2,0,25,0.0,23,0.0,401.0,23970000,22970000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,0,1
84,0,2017-01-26,661947368755840479,1485458220,4,1485458220,0,0,False,1,4,0,0,4,0,3,0,29,0.0,21,0.0,717.0,245790000,236790000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,0,1
85,1,2017-01-26,700225401855286769,1485443740,1,1485443740,0,0,False,0,10,0,0,6,0,5,0,34,1.0,28,0.0,918.0,184160000,179160000,1,0,0,0,0,0.0,0,0,0.0,1,1,1,1,1
86,1,2017-01-26,4305270415377533885,1485499587,6,1485499587,0,0,False,0,2,0,0,2,4,1,0,35,0.0,26,0.0,1486.0,81760000,80760000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
87,1,2017-01-26,1627208831212925916,1485477973,1,1485477973,0,0,False,0,3,0,0,3,0,2,0,36,1.0,29,0.0,794.0,33390000,30390000,1,0,0,0,0,0.0,0,0,0.0,1,1,1,1,1
88,1,2017-01-26,608915197735218105,1485467658,6,1485467658,0,0,False,3,3,0,0,3,16,2,0,37,0.0,31,0.0,639.0,262370000,259370000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
89,1,2017-01-26,3972031438204538458,1485457608,1,1485457608,0,0,False,4,3,0,0,3,0,2,0,37,1.0,27,0.0,416.0,47350000,38350000,1,0,0,0,0,0.0,0,0,0.0,1,1,1,1,1
90,2,2017-01-26,2402527199731150932,1485453756,9,1485453756,0,0,False,3,4,0,0,4,0,3,0,37,0.0,31,0.0,897.0,109260000,106260000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,0,1
91,1,2017-01-26,2553957087129235590,1485445175,2,1485445175,0,0,False,0,0,0,0,0,0,0,0,42,0.0,35,0.0,847.0,56560000,53560000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
92,1,2017-01-26,463325773564352787,1485475748,4,1485475748,0,0,False,0,3,0,0,3,0,2,0,43,0.0,33,0.0,540.0,200170000,191170000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
93,0,2017-01-26,4985703629807810187,1485474927,1,1485474927,0,0,False,0,0,0,0,0,11,0,0,46,1.0,37,0.0,972.0,33980000,31980000,1,0,0,0,0,0.0,0,0,0.0,1,1,1,0,1
94,1,2017-01-26,406001208091891832,1485469662,1,1485469662,0,0,False,0,6,0,0,2,0,1,0,57,1.0,45,0.0,2526.0,100770000,96770000,1,0,0,0,0,0.0,0,0,0.0,1,1,1,1,1
95,1,2017-01-26,7488710348710523001,1485480993,3,1485480993,0,0,False,0,6,0,0,2,0,1,0,57,0.0,43,0.0,1237.0,70700000,64700000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
96,2,2017-01-26,1759779356678951325,1485467514,17,1485467514,0,0,False,1,4,0,0,4,0,3,0,63,0.0,48,0.0,833.0,266790000,264790000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,0,1
97,1,2017-01-26,791462951878788065,1485465620,1,1485465620,0,0,False,0,11,0,0,2,20,1,0,91,1.0,69,0.0,1477.0,106120000,105120000,1,0,0,0,0,0.0,0,0,0.0,1,1,1,1,1
98,1,2017-01-26,7638336411447332495,1485447665,7,1485447665,0,0,False,0,0,0,0,0,2,0,0,161,0.0,112,0.0,2536.0,1750210000,1077000000,2,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
99,1,2017-06-23,750845334721949296,1498226004,1,1498226004,0,0,False,0,14,0,0,9,0,8,0,10,1.0,10,0.0,323.0,299760000,298760000,1,0,0,0,0,0.0,0,0,0.0,1,1,1,1,1
100,1,2017-06-23,7265361594035996306,1498230705,7,1498230705,0,0,False,3,0,0,0,0,0,0,0,11,0.0,11,0.0,418.0,28180000,27180000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
101,0,2017-06-23,987390821892515431,1498241858,2,1498241858,0,0,False,0,12,0,0,7,21,6,0,12,0.0,11,0.0,259.0,33000000,25000000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,0,1
102,0,2017-06-23,987390821892515431,1498251943,3,1498251943,0,0,False,0,12,0,0,7,21,6,0,13,0.0,11,0.0,528.0,29000000,25000000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,0,1
103,1,2017-06-23,3654857757910532216,1498265066,1,1498265066,0,0,False,0,12,0,0,7,0,6,0,14,1.0,13,0.0,692.0,98970000,95970000,1,0,0,0,0,0.0,0,0,0.0,1,1,1,1,1
104,1,2017-06-23,115940065332308119,1498241851,3,1498241851,0,0,False,0,16,0,0,2,0,1,0,15,0.0,13,0.0,962.0,118150000,109150000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
105,1,2017-06-23,4064008221273566105,1498245824,3,1498245824,0,0,False,0,4,0,0,4,0,3,0,15,0.0,14,0.0,471.0,21590000,13590000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
106,1,2017-06-23,72965257504694282,1498238118,10,1498238118,0,0,False,4,0,0,0,0,0,0,0,18,0.0,14,0.0,268.0,19790000,16790000,1,0,0,0,0,0.0,0,0,0.0,1,1,1,1,1
107,0,2017-06-23,384990845055862114,1498271478,11,1498271478,1,1,True,2,3,0,0,3,22,2,0,18,0.0,16,0.0,1973.0,11990000,6990000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,0,1
108,2,2017-06-23,2099864407370022116,1498252156,1,1498252156,0,0,False,0,6,0,0,2,0,1,0,21,1.0,15,0.0,277.0,115520000,113520000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,0,1
109,3,2017-06-23,3412601168298155096,1498263251,1,1498263251,0,0,False,1,17,0,0,11,0,1,0,22,1.0,16,0.0,740.0,13480000,7480000,1,2,1,3,1,1.0,1,0,0.0,1,1,1,0,1
110,0,2017-06-23,2665204442613686910,1498232978,2,1498232978,1,1,True,2,5,0,0,5,23,4,0,23,0.0,20,0.0,1410.0,16290000,13290000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,0,1
111,1,2017-06-23,3508419666243874603,1498242081,4,1498242081,0,0,False,0,2,0,0,2,0,1,0,24,0.0,18,0.0,570.0,308350000,300350000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
112,4,2017-06-23,6416811485882520793,1498240051,2,1498240051,0,0,False,0,7,0,0,1,0,1,0,27,0.0,12,0.0,285.0,36980000,33980000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,0,1
113,1,2017-06-23,1216639212736323098,1498235295,1,1498235295,0,0,False,0,3,0,0,3,0,2,0,28,1.0,24,0.0,436.0,88990000,79990000,1,0,0,0,0,0.0,0,0,0.0,1,1,1,1,1
114,0,2017-06-23,4692146566453742608,1498243020,1,1498243020,0,0,False,0,18,0,0,7,0,6,0,30,1.0,23,0.0,526.0,83590000,74590000,1,0,0,0,0,0.0,0,0,0.0,1,1,1,0,1
115,1,2017-06-23,9429712068285188439,1498283637,2,1498283637,0,0,False,0,18,0,0,7,4,6,0,31,0.0,24,0.0,1472.0,64580000,57580000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
116,1,2017-06-23,4064008221273566105,1498248663,4,1498248663,0,0,False,0,4,0,0,4,0,3,0,33,0.0,29,0.0,1044.0,75160000,33580000,3,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
117,1,2017-06-23,4127513140005445280,1498218912,4,1498218912,0,0,False,0,3,0,0,3,6,2,0,34,0.0,28,0.0,1033.0,14590000,13590000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,1,1
118,2,2017-06-23,3560820276518060023,1498211423,1,1498211423,0,1,True,5,3,0,0,3,4,2,0,35,1.0,28,0.0,1237.0,11980000,9980000,1,0,0,0,0,0.0,0,0,0.0,0,1,1,0,1
119,1,2017-06-23,2658678838785413275,1498272983,1,1498272983,0,0,False,0,3,0,0,3,4,2,0,39,1.0,28,0.0,862.0,40490000,31490000,1,0,0,0,0,0.0,0,0,0.0,1,1,1,1,1
120,1,2017-06-23,7366648314975511623,1498253514,1,1498253514,0,0,False,4,2,0,0,2,0,1,0,40,1.0,35,0.0,599.0,29020000,21020000,1,0,0,0,0,0.0,0,0,0.0,1,1,1,1,1
